date,trade,sell,buy
20180104,20,4,16
20180105,19,3,16
20180108,15,15,0
20180109,0,0,0
20180110,0,0,0
20180111,0,0,0
20180112,0,0,0
20180116,0,0,0
20180117,0,0,0
20180118,0,0,0
20180119,0,0,0
20180122,0,0,0
20180123,0,0,0
20180124,0,0,0
20180125,0,0,0
20180126,0,0,0
20180129,0,0,0
20180130,0,0,0
20180131,0,0,0
20180201,0,0,0
20180202,0,0,0
20180205,0,0,0
20180206,0,0,0
20180207,0,0,0
20180208,0,0,0
20180209,0,0,0
20180212,0,0,0
20180213,0,0,0
20180214,0,0,0
20180215,0,0,0
20180216,0,0,0
20180220,0,0,0
20180221,0,0,0
20180222,0,0,0
20180223,0,0,0
20180226,0,0,0
20180227,0,0,0
20180228,0,0,0
20180301,0,0,0
20180302,0,0,0
20180305,0,0,0
20180306,0,0,0
20180307,0,0,0
20180308,0,0,0
20180309,0,0,0
20180312,0,0,0
20180313,0,0,0
20180314,0,0,0
20180315,0,0,0
20180316,0,0,0
20180319,19,0,19
20180320,19,0,19
20180321,19,0,19
20180322,19,0,19
20180323,19,0,19
20180326,19,0,19
20180327,19,0,19
20180328,19,0,19
20180329,19,0,19
20180402,19,0,19
20180403,19,0,19
20180404,19,0,19
20180405,19,0,19
